120.00000000,3.60000000e+02,5.11026000e+11,2.55700000e+02
115.00000000,3.00000000e+02,9.68132800e+11,4.84400000e+03
110.00000000,2.40000000e+02,2.14268800e+12,1.07200000e+05
105.00000000,2.08800000e+02,5.02978400e+12,1.00660000e+06
100.00000000,1.95100000e+02,1.18796700e+13,4.75600100e+06
95.00000000,1.88400000e+02,2.92176000e+13,2.04680000e+07
90.00000000,1.86900000e+02,7.13050600e+13,4.99520000e+07
85.00000000,1.88900000e+02,1.71007300e+14,8.55500000e+07
80.00000000,1.98600000e+02,3.82932200e+14,1.14960000e+08
75.00000000,2.08400000e+02,8.34113900e+14,2.08675000e+08
70.00000000,2.19600000e+02,1.72167000e+15,5.16900000e+08
65.00000000,2.33300000e+02,3.38394700e+15,2.37020000e+09
60.00000000,2.47000000e+02,6.42183200e+15,7.06860000e+09
55.00000000,2.60800000e+02,1.18030200e+16,2.12580000e+10
50.00000000,2.70700000e+02,2.13460500e+16,6.62160000e+10
47.50000000,2.70600000e+02,2.91749800e+16,1.19720000e+11
45.00000000,2.64200000e+02,4.08748900e+16,2.14725000e+11
42.50000000,2.57300000e+02,5.79881500e+16,3.59786000e+11
40.00000000,2.50400000e+02,8.30444700e+16,6.06630000e+11
37.50000000,2.43435000e+02,1.20239300e+17,9.65640100e+11
35.00000000,2.36500000e+02,1.75973100e+17,1.38009600e+12
32.50000000,2.29588000e+02,2.60501900e+17,1.86094500e+12
30.00000000,2.26500000e+02,3.82769900e+17,2.50979900e+12
27.50000000,2.24000000e+02,5.63587300e+17,3.27289200e+12
25.00000000,2.21600000e+02,8.33128300e+17,4.26687700e+12
24.00000000,2.20600000e+02,9.75787200e+17,4.51826500e+12
23.00000000,2.19600000e+02,1.14349200e+18,4.76819200e+12
22.00000000,2.18600000e+02,1.34089500e+18,4.89427400e+12
21.00000000,2.17600000e+02,1.57406400e+18,4.76910000e+12
20.00000000,2.16700000e+02,1.84799000e+18,4.76857100e+12
19.00000000,2.16700000e+02,2.16150300e+18,4.39089000e+12
18.00000000,2.16700000e+02,2.52849400e+18,4.01511000e+12
17.00000000,2.16700000e+02,2.95798700e+18,3.51352000e+12
16.00000000,2.16700000e+02,3.45934000e+18,3.01228600e+12
15.00000000,2.16700000e+02,4.04759500e+18,2.63452500e+12
14.00000000,2.16700000e+02,4.73612100e+18,2.38371700e+12
13.00000000,2.16700000e+02,5.54162900e+18,2.13299200e+12
12.00000000,2.16700000e+02,6.48417400e+18,2.00834500e+12
11.00000000,2.16800000e+02,7.58365200e+18,1.63087600e+12
10.00000000,2.23300000e+02,8.59545700e+18,1.12944300e+12
9.00000000,2.29700000e+02,9.71184100e+18,8.91037900e+11
8.00000000,2.36200000e+02,1.09317900e+19,6.52680400e+11
7.00000000,2.42700000e+02,1.22684500e+19,6.15105200e+11
6.00000000,2.49200000e+02,1.37242900e+19,5.64577600e+11
5.00000000,2.55700000e+02,1.53100600e+19,5.77257600e+11
4.00000000,2.62200000e+02,1.70326700e+19,5.77144800e+11
3.00000000,2.68700000e+02,1.89010500e+19,6.27433700e+11
2.00000000,2.75200000e+02,2.09233100e+19,6.77827900e+11
1.00000000,2.81700000e+02,2.31093600e+19,6.77940200e+11
0.00000000,2.88200000e+02,2.54581800e+19,6.77768000e+11
