rank,lambda0_nm,lambda1_nm,lambda2_nm,weight0_nm,weight1_nm,weight2_nm,score,mean,rmse,p50,p90,p95,p99,max,sample_count
1,410,490,590,151.921367,164.202854,93.875779,0.032437597,0.014437386,0.025280805,0.012399085,0.023336969,0.028627165,0.045148026,2.067974713,655360
2,470,570,680,82.878383,102.140718,224.980899,0.033928840,0.017360368,0.025939043,0.015555417,0.027350851,0.031959187,0.044576060,1.354388171,655360
3,390,480,580,180.783165,126.669218,102.547618,0.034131225,0.014090368,0.026198319,0.011414584,0.024798131,0.031731627,0.048191218,2.125963927,655360
4,380,480,580,177.846848,129.692171,102.460981,0.034925550,0.014135959,0.026830956,0.011334032,0.025151348,0.032378374,0.049168900,2.126010648,655360
5,480,580,740,131.095512,102.327365,176.577123,0.035247610,0.014214291,0.027080155,0.011389329,0.025328226,0.032669816,0.049607594,2.007832562,655360
6,480,580,730,131.098500,102.224707,176.676793,0.035267924,0.014208256,0.027109887,0.011398079,0.025314441,0.032632148,0.049470713,1.973924694,655360
7,480,580,750,131.094104,102.376308,176.529588,0.035276153,0.014218877,0.027103690,0.011386900,0.025338659,0.032689850,0.049677834,2.036333508,655360
8,480,580,760,131.093455,102.399030,176.507516,0.035294628,0.014221387,0.027119494,0.011385982,0.025346138,0.032700537,0.049680801,2.046384197,655360
9,480,580,770,131.093131,102.410388,176.496481,0.035320962,0.014223226,0.027144406,0.011385192,0.025351816,0.032706226,0.049686883,2.052024799,655360
10,480,580,720,131.104461,102.024642,176.870897,0.035327262,0.014205022,0.027182362,0.011417280,0.025285212,0.032579598,0.049273621,1.907825513,655360
11,480,580,780,131.092969,102.416071,176.490960,0.035336716,0.014224256,0.027159050,0.011384874,0.025352796,0.032710663,0.049712050,2.055002044,655360
